Table ID,Line,UniqueID,Variable_Family,Universe,Variable_Concept,Variable_Name,Variable_Type,Variable_Min,Variable_Max,Variable_Count_Blanks,Vasriable_Mean,Variable_Median,Measurement_of_error,MOE_Min,MOE_Max,"MOE_Count_Blanks
",MOE_Mean,MOE_Median,
K201703,1,K201703_001,Poverty Status in the Past 12 Months of Families by Household Type,Families,Total:,K201703_001E,string,3193,1917514,608,21855.81686,11619,K201703_001M,464,15673,608,1400.754327,1187,
K201703,2,K201703_002,Poverty Status in the Past 12 Months of Families by Household Type,Families,Income in the past 12 months below poverty level:,K201703_002E,string,69,276284,608,2306.178671,1036,K201703_002M,81,12041,608,727.2043551,602,
K201703,3,K201703_003,Poverty Status in the Past 12 Months of Families by Household Type,Families,Married-couple family,K201703_003E,string,0,102977,608,810.9073143,392,K201703_003M,22,7139,608,415.9402568,330,
K201703,4,K201703_004,Poverty Status in the Past 12 Months of Families by Household Type,Families,Other families:,K201703_004E,string,0,173307,608,1495.271357,656,K201703_004M,39,9557,608,587.3623674,485,
K201703,5,K201703_005,Poverty Status in the Past 12 Months of Families by Household Type,Families,"Male householder, no spouse present",K201703_005E,string,0,32981,608,261.5348967,77,K201703_005M,16,4225,608,277.3132328,218,
K201703,6,K201703_006,Poverty Status in the Past 12 Months of Families by Household Type,Families,"Female householder, no spouse present",K201703_006E,string,0,140326,608,1233.73646,527,K201703_006M,35,8343,608,532.3685092,436,
K201703,7,K201703_007,Poverty Status in the Past 12 Months of Families by Household Type,Families,Income in the past 12 months at or above poverty level:,K201703_007E,string,2318,1641230,608,19549.63819,10633,K201703_007M,451,18128,608,1451.147962,1212,
K201703,8,K201703_008,Poverty Status in the Past 12 Months of Families by Household Type,Families,Married-couple family,K201703_008E,string,1088,1072450,608,14062.01173,7936,K201703_008M,481,16510,608,1384.859296,1171,
K201703,9,K201703_009,Poverty Status in the Past 12 Months of Families by Household Type,Families,Other families:,K201703_009E,string,281,568780,608,5487.626466,2736,K201703_009M,235,13660,608,1099.19933,916,
K201703,10,K201703_010,Poverty Status in the Past 12 Months of Families by Household Type,Families,"Male householder, no spouse present",K201703_010E,string,0,157298,608,1742.198772,887,K201703_010M,44,6582,608,659.7359017,555,
K201703,11,K201703_011,Poverty Status in the Past 12 Months of Families by Household Type,Families,"Female householder, no spouse present",K201703_011E,string,40,411482,608,3745.427694,1859,K201703_011M,70,11321,608,905.0748185,756,
K201801,1,K201801_001,Disability Status by Age,Civilian noninstitutionalized population,Total:,K201801_001E,string,14069,8282640,12,75501.91873,37559,K201801_001M,1,15993,12,1807.643904,525,
K201801,2,K201801_002,Disability Status by Age,Civilian noninstitutionalized population,With a disability:,K201801_002E,string,583,1049494,12,9652.381232,4806,K201801_002M,308,21012,12,1576.636364,1322,
K201801,3,K201801_003,Disability Status by Age,Civilian noninstitutionalized population,Under 18 years,K201801_003E,string,0,72955,12,790.7896942,383,K201801_003M,2,6856,12,464.6757436,349,
K201801,4,K201801_004,Disability Status by Age,Civilian noninstitutionalized population,18 to 64 years,K201801_004E,string,225,479322,12,4968.253456,2388,K201801_004M,174,14716,12,1143.104734,955,
K201801,5,K201801_005,Disability Status by Age,Civilian noninstitutionalized population,65 years and over,K201801_005E,string,0,497217,12,3893.338081,2029,K201801_005M,60,10625,12,879.0284876,756,
K201801,6,K201801_006,Disability Status by Age,Civilian noninstitutionalized population,No disability,K201801_006E,string,12526,7233146,12,65849.53749,32776,K201801_006M,389,21421,12,2688.783829,2182,
K201802,1,K201802_001,Work Experience by Disability Status,Civilian noninstitutionalized population 18 to 64 years,Total:,K201802_001E,string,3617,5245977,7,47307.96446,22580.5,K201802_001M,183,13926,7,2387.924331,2165,
K201802,2,K201802_002,Work Experience by Disability Status,Civilian noninstitutionalized population 18 to 64 years,"Worked full-time, year round:",K201802_002E,string,894,2747906,7,26344.53804,12793,K201802_002M,457,25375,7,2268.201505,1973.5,
K201802,3,K201802_003,Work Experience by Disability Status,Civilian noninstitutionalized population 18 to 64 years,With a disability,K201802_003E,string,0,114745,7,1469.757107,728.5,K201802_003M,2,7323,7,605.6074415,492,
K201802,4,K201802_004,Work Experience by Disability Status,Civilian noninstitutionalized population 18 to 64 years,No disability,K201802_004E,string,802,2633161,7,24874.78094,12078.5,K201802_004M,466,25653,7,2238.032609,1919.5,
K201802,5,K201802_005,Work Experience by Disability Status,Civilian noninstitutionalized population 18 to 64 years,"Worked less than full-time, year round:",K201802_005E,string,661,1291608,7,11898.84908,5553.5,K201802_005M,326,23222,7,1691.966555,1413,
K201802,6,K201802_006,Work Experience by Disability Status,Civilian noninstitutionalized population 18 to 64 years,With a disability,K201802_006E,string,0,92118,7,1162.732441,566.5,K201802_006M,1,6778,7,523.1450669,429,
K201802,7,K201802_007,Work Experience by Disability Status,Civilian noninstitutionalized population 18 to 64 years,No disability,K201802_007E,string,511,1199490,7,10736.11664,5014,K201802_007M,251,21362,7,1621.059783,1352,
K201802,8,K201802_008,Work Experience by Disability Status,Civilian noninstitutionalized population 18 to 64 years,Did not work:,K201802_008E,string,520,1206463,7,9064.577341,4292,K201802_008M,343,19737,7,1473.14214,1237,
K201802,9,K201802_009,Work Experience by Disability Status,Civilian noninstitutionalized population 18 to 64 years,With a disability,K201802_009E,string,0,272459,7,2326.063127,1089,K201802_009M,10,10981,7,737.3219064,597,
K201802,10,K201802_010,Work Experience by Disability Status,Civilian noninstitutionalized population 18 to 64 years,No disability,K201802_010E,string,208,934004,7,6738.514214,3131,K201802_010M,210,16370,7,1274.230769,1055,
K201803,1,K201803_001,Types of Disabilities,Civilian noninstitutionalized population,Total:,K201803_001E,string,10307,8282640,0,75232.49854,37294,K201803_001M,1,15993,0,1818.135056,533,
K201803,2,K201803_002,Types of Disabilities,Civilian noninstitutionalized population,With a disability:,K201803_002E,string,67,1049494,0,9608.96707,4774,K201803_002M,114,21012,0,1572.210921,1320,
K201803,3,K201803_003,Types of Disabilities,Civilian noninstitutionalized population,With a hearing difficulty,K201803_003E,string,0,201240,0,2341.835348,1253,K201803_003M,56,8734,0,724.477699,612,
K201803,4,K201803_004,Types of Disabilities,Civilian noninstitutionalized population,With a vision difficulty,K201803_004E,string,0,215466,0,1851.174656,858,K201803_004M,2,10369,0,673.3780742,534,
K201803,5,K201803_005,Types of Disabilities,Civilian noninstitutionalized population,With a cognitive difficulty,K201803_005E,string,13,410867,0,3993.71905,1940,K201803_005M,5,16534,0,1040.326803,848,
K201803,6,K201803_006,Types of Disabilities,Civilian noninstitutionalized population,With an ambulatory difficulty,K201803_006E,string,0,614223,0,4512.998333,2238,K201803_006M,79,15242,0,1007.380992,850,
K201803,7,K201803_007,Types of Disabilities,Civilian noninstitutionalized population,With a self-care difficulty,K201803_007E,string,0,263392,0,1819.11088,876,K201803_007M,3,11231,0,626.0262609,509,
K201803,8,K201803_008,Types of Disabilities,Civilian noninstitutionalized population,With an independent living difficulty,K201803_008E,string,0,454888,0,3534.532722,1717,K201803_008M,50,13537,0,897.506461,738,
K201803,9,K201803_009,Types of Disabilities,Civilian noninstitutionalized population,No disability,K201803_009E,string,10240,7233146,0,65623.53147,32592,K201803_009M,389,21421,0,2695.339308,2194,
K201901,1,K201901_001,Household Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Households,Total:,K201901_001E,string,3455,3373039,0,29781.78533,14450,K201901_001M,530,12815,0,1560.170905,1380,
K201901,2,K201901_002,Household Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Households,"Less than $20,000",K201901_002E,string,0,586655,0,3930.732805,1654,K201901_002M,74,13914,0,898.4556065,743,
K201901,3,K201901_003,Household Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Households,"$20,000 to $39,999",K201901_003E,string,0,450020,0,4235.318049,2001,K201901_003M,24,13295,0,964.7724052,815,
K201901,4,K201901_004,Household Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Households,"$40,000 to $59,999",K201901_004E,string,0,385225,0,4106.14506,2034,K201901_004M,85,12831,0,962.7211338,809,
K201901,5,K201901_005,Household Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Households,"$60,000 to $99,999",K201901_005E,string,285,637205,0,6455.070029,3297,K201901_005M,227,14169,0,1165.884535,979,
K201901,6,K201901_006,Household Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Households,"$100,000 to $149,999",K201901_006E,string,238,504114,0,4887.664444,2539,K201901_006M,176,12592,0,1002.460192,838,
K201901,7,K201901_007,Household Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Households,"$150,000 to $199,999",K201901_007E,string,0,292862,0,2575.729054,1367,K201901_007M,70,9889,0,708.9679033,602,
K201901,8,K201901_008,Household Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Households,"$200,000 or more",K201901_008E,string,0,516958,0,3591.125886,1580,K201901_008M,35,13484,0,735.0746144,627,
K201902,1,K201902_001,Median Household Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Households,Median household income in the past 12 months (in 2023 inflation-adjusted dollars),K201902_001E,string,16377,250001,0,84342.9579,77711,K201902_001M,-333333333,75843,0,-1237361.625,11111,
K201903,1,K201903_001,Family Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Families,Total:,K201903_001E,string,2040,1917514,9,18144.00962,9397.5,K201903_001M,426,15673,9,1314.004603,1136.5,
K201903,2,K201903_002,Family Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Families,"Less than $20,000",K201903_002E,string,0,225812,9,1438.777406,618.5,K201903_002M,17,10202,9,556.0305439,464,
K201903,3,K201903_003,Family Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Families,"$20,000 to $39,999",K201903_003E,string,0,252256,9,2037.741841,952.5,K201903_003M,24,9620,9,674.3518828,561,
K201903,4,K201903_004,Family Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Families,"$40,000 to $59,999",K201903_004E,string,0,222669,9,2258.16318,1148.5,K201903_004M,72,9176,9,714.6288703,605,
K201903,5,K201903_005,Family Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Families,"$60,000 to $99,999",K201903_005E,string,135,380640,9,4048.663598,2177.5,K201903_005M,131,11339,9,933.7133891,792,
K201903,6,K201903_006,Family Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Families,"$100,000 to $149,999",K201903_006E,string,177,305600,9,3483.098745,1967,K201903_006M,128,10416,9,854.3004184,729,
K201903,7,K201903_007,Family Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Families,"$150,000 to $199,999",K201903_007E,string,0,189823,9,1983.978661,1126,K201903_007M,53,8761,9,629.0343096,540.5,
K201903,8,K201903_008,Family Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Families,"$200,000 or more",K201903_008E,string,0,340714,9,2893.586192,1307,K201903_008M,30,10015,9,666.0702929,574,
K201904,1,K201904_001,Median Family Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Families,Median family income in the past 12 months (in 2023 inflation-adjusted dollars),K201904_001E,string,20663,250001,0,101612.6294,93385,K201904_001M,-333333333,118273,0,-3039594.483,14747,
K201905,1,K201905_001,Median Nonfamily Household Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars),Nonfamily households,Median nonfamily household income in the past 12 months (in 2023 inflation-adjusted dollars),K201905_001E,string,-666666666,166669,88,-525725.865,47966,K201905_001M,-333333333,109874,88,-320863.241,12233,
K202002,1,K202002_001,Median Earnings in the Past 12 Months (in 2023 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months,Population 16 years and over with earnings,Total (dollars):,K202002_001E,string,6172,183661,0,46247.2476,42387,K202002_001M,397,51947,0,6893.504794,5655,
K202002,2,K202002_002,Median Earnings in the Past 12 Months (in 2023 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months,Population 16 years and over with earnings,Male Total (dollars),K202002_002E,string,7663,250001,0,54304.4727,49146,K202002_002M,-333333333,85186,0,-267250.5794,8533,
K202002,3,K202002_003,Median Earnings in the Past 12 Months (in 2023 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months,Population 16 years and over with earnings,"Worked full-time, year-round in the past 12 months (dollars)",K202002_003E,string,22541,250001,0,67813.90579,61128,K202002_003M,-333333333,103855,0,-404362.1167,10013,
K202002,4,K202002_004,Median Earnings in the Past 12 Months (in 2023 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months,Population 16 years and over with earnings,Female Total (dollars),K202002_004E,string,5511,123550,0,39202.84452,37058,K202002_004M,780,49707,0,8488.376824,6903,
K202002,5,K202002_005,Median Earnings in the Past 12 Months (in 2023 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months,Population 16 years and over with earnings,"Worked full-time, year-round in the past 12 months (dollars)",K202002_005E,string,19043,191898,0,54805.22593,50817,K202002_005M,699,78492,0,10389.07128,8155,
K202101,1,K202101_001,Veteran Status for the Civilian Population 18 Years and Over by Age,Civilian population 18 years and over,Total:,K202101_001E,string,3628,6653896,228,63273.46753,31362,K202101_001M,199,14600,228,2428.536158,2215,
K202101,2,K202101_002,Veteran Status for the Civilian Population 18 Years and Over by Age,Civilian population 18 years and over,Veteran:,K202101_002E,string,276,118882,228,3469.9848,1906,K202101_002M,163,6561,228,861.2901889,724,
K202101,3,K202101_003,Veteran Status for the Civilian Population 18 Years and Over by Age,Civilian population 18 years and over,18 to 34 years,K202101_003E,string,0,11190,228,350.4426532,143,K202101_003M,2,2468,228,311.5707047,222,
K202101,4,K202101_004,Veteran Status for the Civilian Population 18 Years and Over by Age,Civilian population 18 years and over,35 to 64 years,K202101_004E,string,0,46635,228,1510.96269,786,K202101_004M,2,4298,228,586.1243667,490,
K202101,5,K202101_005,Veteran Status for the Civilian Population 18 Years and Over by Age,Civilian population 18 years and over,65 years and over,K202101_005E,string,0,62101,228,1608.579456,930,K202101_005M,4,4008,228,516.577614,452,
K202101,6,K202101_006,Veteran Status for the Civilian Population 18 Years and Over by Age,Civilian population 18 years and over,Nonveteran,K202101_006E,string,2985,6535014,228,59803.48273,29359,K202101_006M,523,14785,228,2460.330263,2223,
K202102,1,K202102_001,Service-Connected Disability-Rating Status for Civilian Veterans 18 Years and Over,Civilian veterans 18 years and over,Total:,K202102_001E,string,250,118882,354,3626.168704,2014,K202102_001M,173,6561,354,884.9276284,746,
K202102,2,K202102_002,Service-Connected Disability-Rating Status for Civilian Veterans 18 Years and Over,Civilian veterans 18 years and over,Has no service-connected disability rating,K202102_002E,string,114,97713,354,2518.921271,1423,K202102_002M,110,5833,354,730.3726161,618,
K202102,3,K202102_003,Service-Connected Disability-Rating Status for Civilian Veterans 18 Years and Over,Civilian veterans 18 years and over,Has a service-connected disability rating,K202102_003E,string,0,40186,354,1107.247433,572,K202102_003M,3,4203,354,481.6723716,390,
K202201,1,K202201_001,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households,Households,Total:,K202201_001E,string,3455,3373039,19,29926.82857,14535.5,K202201_001M,530,12815,19,1561.289496,1379.5,
K202201,2,K202201_002,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households,Households,Household received Food Stamps/SNAP in the past 12 months:,K202201_002E,string,0,746018,19,4167.87395,1630.5,K202201_002M,37,13528,19,876.1142857,723,
K202201,3,K202201_003,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households,Households,With children under 18 years,K202201_003E,string,0,287814,19,1911.927311,798,K202201_003M,48,9235,19,636.1432773,527,
K202201,4,K202201_004,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households,Households,No children under 18 years,K202201_004E,string,0,458204,19,2255.946639,778.5,K202201_004M,37,11688,19,633.7865546,496,
K202201,5,K202201_005,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households,Households,Household did not receive Food Stamps/SNAP in the past 12 months:,K202201_005E,string,2589,2627021,19,25758.95462,12652,K202201_005M,562,17257,19,1692.066387,1450.5,
K202201,6,K202201_006,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households,Households,With children under 18 years,K202201_006E,string,176,580002,19,6725.506303,3665,K202201_006M,180,13158,19,1079.810504,925,
K202201,7,K202201_007,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households,Households,No children under 18 years,K202201_007E,string,599,2047019,19,19033.44832,9133.5,K202201_007M,420,17958,19,1825.142437,1549,
K202301,1,K202301_001,Employment Status for the Population 16 Years and Over,Population 16 years and over,Total:,K202301_001E,string,12010,6837633,5,61706.6132,30261,K202301_001M,291,14879,5,2467.50919,2238,
K202301,2,K202301_002,Employment Status for the Population 16 Years and Over,Population 16 years and over,In labor force:,K202301_002E,string,2714,4327231,5,40459.36257,19417.5,K202301_002M,804,23076,5,2518.87051,2257,
K202301,3,K202301_003,Employment Status for the Population 16 Years and Over,Population 16 years and over,Civilian labor force:,K202301_003E,string,1774,4322539,5,40125.31746,19288,K202301_003M,798,23222,5,2523.017126,2258,
K202301,4,K202301_004,Employment Status for the Population 16 Years and Over,Population 16 years and over,Employed,K202301_004E,string,1726,4045291,5,38250.32122,18616,K202301_004M,732,24496,5,2508.430242,2245.5,
K202301,5,K202301_005,Employment Status for the Population 16 Years and Over,Population 16 years and over,Unemployed,K202301_005E,string,0,277248,5,1874.996241,830,K202301_005M,7,11201,5,680.4502924,542,
K202301,6,K202301_006,Employment Status for the Population 16 Years and Over,Population 16 years and over,Armed Forces,K202301_006E,string,0,37814,5,334.0451128,0,K202301_006M,1,3824,5,278.4076859,218,
K202301,7,K202301_007,Employment Status for the Population 16 Years and Over,Population 16 years and over,Not in labor force,K202301_007E,string,2126,2510402,5,21247.25063,10819.5,K202301_007M,696,23747,5,2091.836675,1809,
K202302,1,K202302_001,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years,Population 16 to 64 years,Total:,K202302_001E,string,3695,5444795,0,49789.78158,23906,K202302_001M,321,14225,0,2457.160484,2230,
K202302,2,K202302_002,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years,Population 16 to 64 years,Male:,K202302_002E,string,1670,2659400,0,24911.74364,12073,K202302_002M,242,12010,0,1775.482284,1593,
K202302,3,K202302_003,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years,Population 16 to 64 years,Worked in the past 12 months:,K202302_003E,string,754,2052079,0,20490.09462,9908,K202302_003M,395,12850,0,1732.126303,1541,
K202302,4,K202302_004,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years,Population 16 to 64 years,"Worked full-time, year-round",K202302_004E,string,444,1468314,0,14928.61942,7325,K202302_004M,345,15809,0,1581.504377,1356,
K202302,5,K202302_005,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years,Population 16 to 64 years,"Worked less than full-time, year-round",K202302_005E,string,112,583765,0,5561.475198,2650,K202302_005M,23,17044,0,1161.005836,968,
K202302,6,K202302_006,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years,Population 16 to 64 years,Did not work in the past 12 months,K202302_006E,string,9,607321,0,4421.64902,2080,K202302_006M,2,13076,0,1012.803668,849,
K202302,7,K202302_007,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years,Population 16 to 64 years,Female:,K202302_007E,string,2025,2785395,0,24878.03793,11979,K202302_007M,228,11002,0,1655.142143,1484,
K202302,8,K202302_008,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years,Population 16 to 64 years,Worked in the past 12 months:,K202302_008E,string,1007,2020231,0,18708.63318,9050,K202302_008M,423,14365,0,1681.672363,1483,
K202302,9,K202302_009,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years,Population 16 to 64 years,"Worked full-time, year-round",K202302_009E,string,420,1284177,0,11700.41767,5700,K202302_009M,242,17095,0,1477.274281,1264,
K202302,10,K202302_010,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years,Population 16 to 64 years,"Worked less than full-time, year-round",K202302_010E,string,359,736054,0,7008.215506,3416,K202302_010M,207,15019,0,1254.125052,1060,
K202302,11,K202302_011,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years,Population 16 to 64 years,Did not work in the past 12 months,K202302_011E,string,387,765164,0,6169.404752,2980,K202302_011M,276,14783,0,1163.503543,964,
K202401,1,K202401_001,Occupation for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Total:,K202401_001E,string,2527,4045291,2,38219.8252,18587,K202401_001M,732,24496,2,2509.517313,2246,
K202401,2,K202401_002,Occupation for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,"Management, business, science, and arts occupations",K202401_002E,string,909,1870101,2,16746.0655,8047,K202401_002M,381,23369,2,1882.154777,1594,
K202401,3,K202401_003,Occupation for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Service occupations,K202401_003E,string,272,860363,2,6415.761368,3114,K202401_003M,195,17673,2,1322.372966,1106,
K202401,4,K202401_004,Occupation for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Sales and office occupations,K202401_004E,string,522,719643,2,7594.849812,3865,K202401_004M,300,15891,2,1402.874844,1177,
K202401,5,K202401_005,Occupation for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,"Natural resources, construction, and maintenance occupations",K202401_005E,string,0,220267,2,2780.038381,1440,K202401_005M,3,9312,2,873.738423,718,
K202401,6,K202401_006,Occupation for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,"Production, transportation, and material moving occupations",K202401_006E,string,0,374917,2,4683.110138,2424,K202401_006M,72,14114,2,1132.743846,962,
K202402,1,K202402_001,Class of Worker for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Total:,K202402_001E,string,5089,4045291,110,39513.67453,19500,K202402_001M,808,24496,110,2518.124945,2246,
K202402,2,K202402_002,Class of Worker for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Employee of private company workers,K202402_002E,string,2896,2606890,110,26705.51114,12886,K202402_002M,795,26071,110,2388.608563,2054,
K202402,3,K202402_003,Class of Worker for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Self-employed in own incorporated business workers,K202402_003E,string,0,157181,110,1505.17737,741,K202402_003M,33,7100,110,607.2844037,496,
K202402,4,K202402_004,Class of Worker for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Private not-for-profit wage and salary workers,K202402_004E,string,0,465952,110,3559.121014,1733,K202402_004M,115,12655,110,913.4814329,770,
K202402,5,K202402_005,Class of Worker for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Local government workers,K202402_005E,string,85,364762,110,2733.932285,1438,K202402_005M,107,13274,110,826.832678,679,
K202402,6,K202402_006,Class of Worker for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,State government workers,K202402_006E,string,0,103629,110,1612.747051,712,K202402_006M,45,5775,110,600.2874618,473,
K202402,7,K202402_007,Class of Worker for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Federal government workers,K202402_007E,string,0,82422,110,1076.13543,470,K202402_007M,2,6957,110,490.2944517,386,
K202402,8,K202402_008,Class of Worker for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Self-employed in own not incorporated business workers,K202402_008E,string,0,257787,110,2255.307995,1070,K202402_008M,68,10764,110,740.1048493,611,
K202402,9,K202402_009,Class of Worker for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Unpaid family workers,K202402_009E,string,0,6668,110,65.74224552,0,K202402_009M,1,2142,110,207.5281782,214,
K202403,1,K202403_001,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Total:,K202403_001E,string,2527,4045291,33,38594.0579,18892.5,K202403_001M,732,24496,33,2511.690617,2246.5,
K202403,2,K202403_002,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",K202403_002E,string,0,24439,33,326.7578191,90,K202403_002M,1,3256,33,291.956044,218,
K202403,3,K202403_003,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Construction,K202403_003E,string,0,194970,33,2418.646661,1206.5,K202403_003M,31,8733,33,824.8279797,676.5,
K202403,4,K202403_004,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Manufacturing,K202403_004E,string,0,138065,33,3321.47295,1840.5,K202403_004M,45,7375,33,928.8402367,796,
K202403,5,K202403_005,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Wholesale trade,K202403_005E,string,0,64281,33,822.2852916,423,K202403_005M,2,4926,33,445.3833474,351,
K202403,6,K202403_006,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Retail trade,K202403_006E,string,59,362662,33,4267.844041,2212.5,K202403_006M,98,12502,33,1103.51437,914,
K202403,7,K202403_007,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,"Transportation and warehousing, and utilities",K202403_007E,string,0,281079,33,2375.71978,1133.5,K202403_007M,46,11923,33,787.3558749,647,
K202403,8,K202403_008,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Information,K202403_008E,string,0,165682,33,864.1411665,322,K202403_008M,2,7744,33,403.9234996,295,
K202403,9,K202403_009,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,"Finance and insurance, and real estate and rental and leasing",K202403_009E,string,0,373328,33,2747.059594,1303,K202403_009M,42,13449,33,801.1982249,665.5,
K202403,10,K202403_010,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,"Professional, scientific, and management, and administrative and waste management services",K202403_010E,string,107,603458,33,5380.498309,2415.5,K202403_010M,111,13218,33,1106.884615,919,
K202403,11,K202403_011,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,"Educational services, and health care and social assistance",K202403_011E,string,609,1135857,33,8905.895604,4478,K202403_011M,403,19209,33,1447.289096,1220.5,
K202403,12,K202403_012,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,"Arts, entertainment, and recreation, and accommodation and food services",K202403_012E,string,88,378104,33,3636.287405,1710.5,K202403_012M,156,12765,33,1007.546915,820.5,
K202403,13,K202403_013,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,"Other services, except public administration",K202403_013E,string,0,212128,33,1836.388419,920,K202403_013M,3,9566,33,681.4146238,571.5,
K202403,14,K202403_014,Industry for the Civilian Employed Population 16 Years and Over,Civilian employed population 16 years and over,Public administration,K202403_014E,string,0,156404,33,1691.060862,859,K202403_014M,65,7784,33,632.3372781,525,
K202501,1,K202501_001,Occupancy Status,Housing units,Total:,K202501_001E,string,3455,3679063,0,32314.72155,15504,K202501_001M,18,9981,0,1602.289704,1444,
K202501,2,K202501_002,Occupancy Status,Housing units,Occupied,K202501_002E,string,3455,3373039,0,29781.78533,14450,K202501_002M,530,12815,0,1560.170905,1380,
K202501,3,K202501_003,Occupancy Status,Housing units,Vacant,K202501_003E,string,0,306024,0,2532.936223,953,K202501_003M,42,12964,0,778.3276365,645,
K202502,1,K202502_001,Housing Tenure,Occupied housing units,Total:,K202502_001E,string,3455,3373039,0,29781.78533,14450,K202502_001M,530,12815,0,1560.170905,1380,
